Time_s,N_Numerical,N_Analytical,Error_Absolute,Error_Relative_Percent
0.0000,1.000000e+15,1.000000e+15,0.000000e+00,0.000000
6607.0080,9.861371e+14,9.862327e+14,9.564810e+10,0.009698
13214.0160,9.724663e+14,9.726549e+14,1.886534e+11,0.019396
19821.0240,9.589850e+14,9.592641e+14,2.790707e+11,0.029092
26428.0320,9.456907e+14,9.460576e+14,3.669538e+11,0.038788
33035.0400,9.325806e+14,9.330330e+14,4.523554e+11,0.048482
39642.0480,9.196523e+14,9.201877e+14,5.353272e+11,0.058176
46249.0560,9.069032e+14,9.075192e+14,6.159202e+11,0.067869
52856.0640,8.943309e+14,8.950251e+14,6.941842e+11,0.077560
59463.0720,8.819328e+14,8.827030e+14,7.701682e+11,0.087251
66070.0800,8.697066e+14,8.705506e+14,8.439203e+11,0.096941
72677.0880,8.576499e+14,8.585654e+14,9.154876e+11,0.106630
79284.0960,8.457604e+14,8.467453e+14,9.849164e+11,0.116318
85891.1040,8.340357e+14,8.350879e+14,1.052252e+12,0.126005
92498.1120,8.224735e+14,8.235910e+14,1.117539e+12,0.135691
99105.1200,8.110716e+14,8.122524e+14,1.180822e+12,0.145376
105712.1280,7.998277e+14,8.010699e+14,1.242143e+12,0.155060
112319.1360,7.887398e+14,7.900413e+14,1.301544e+12,0.164744
118926.1440,7.778055e+14,7.791646e+14,1.359066e+12,0.174426
125533.1520,7.670228e+14,7.684376e+14,1.414751e+12,0.184108
132140.1600,7.563896e+14,7.578583e+14,1.468638e+12,0.193788
138747.1680,7.459039e+14,7.474246e+14,1.520766e+12,0.203468
145354.1760,7.355634e+14,7.371346e+14,1.571174e+12,0.213146
151961.1840,7.253664e+14,7.269863e+14,1.619898e+12,0.222824
158568.1920,7.153106e+14,7.169776e+14,1.666977e+12,0.232501
165175.2000,7.053943e+14,7.071068e+14,1.712445e+12,0.242176
171782.2080,6.956155e+14,6.973718e+14,1.756339e+12,0.251851
178389.2160,6.859722e+14,6.877709e+14,1.798693e+12,0.261525
184996.2240,6.764626e+14,6.783022e+14,1.839542e+12,0.271198
191603.2320,6.670849e+14,6.689638e+14,1.878919e+12,0.280870
198210.2400,6.578371e+14,6.597540e+14,1.916857e+12,0.290541
204817.2480,6.487175e+14,6.506709e+14,1.953388e+12,0.300211
211424.2560,6.397244e+14,6.417129e+14,1.988543e+12,0.309880
218031.2640,6.308559e+14,6.328783e+14,2.022355e+12,0.319549
224638.2720,6.221104e+14,6.241653e+14,2.054853e+12,0.329216
231245.2800,6.134861e+14,6.155722e+14,2.086067e+12,0.338883
237852.2880,6.049814e+14,6.070974e+14,2.116026e+12,0.348548
244459.2960,5.965946e+14,5.987394e+14,2.144759e+12,0.358213
251066.3040,5.883240e+14,5.904963e+14,2.172295e+12,0.367876
257673.3120,5.801681e+14,5.823668e+14,2.198660e+12,0.377539
264280.3200,5.721253e+14,5.743492e+14,2.223883e+12,0.387200
270887.3280,5.641940e+14,5.664419e+14,2.247989e+12,0.396861
277494.3360,5.563726e+14,5.586436e+14,2.271004e+12,0.406521
284101.3440,5.486596e+14,5.509526e+14,2.292954e+12,0.416180
290708.3520,5.410536e+14,5.433674e+14,2.313865e+12,0.425838
